Raw_file,Acq_day,operator,LC_id,LC_column,LC_meth,Sample_id,Sample_load,QC_boxid_loaddate
HeLa01,220509,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
HeLa03,220509,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
HeLa02,220509,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
0510HeLa02,220510,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
0510HeLa03,220510,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
0510HeLa01,220510,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
1105HeLa01,220511,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
1105HeLa02,220511,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
1105HeLa03,220511,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
1105HeLa2,220511,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
1105HeLa1,220511,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
1105HeLa3,220511,unknown,S00187,EV1109,100SPD,HeLa_50ng,50ng,unknown
newQC_500ngHeLa_01,220516,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
newQC_500ngHeLa_02,220516,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
newQC_500ngHeLa_03,220516,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
newQC_50ngHeLa_01,220516,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
newQC_50ngHeLa_03,220516,unknown,S00187,EV1109,100SPD,HeLa_50ng_freshload,50ng,unknown
oldQC_50ngHeLa_01,220516,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
newQC_50ngHeLa_02,220516,unknown,S00187,EV1109,100SPD,HeLa_50ng_freshload,50ng,unknown
oldQC_50ngHeLa_03,220516,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
oldQC_50ngHeLa_02,220516,unknown,S00187,EV1109,unknown,unknown,unknown,unknown
50 ng Hela 100SPD IDA45 2,220613,unknown,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
50 ng Hela 100SPD IDA45 3,220613,unknown,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
50 ng Hela 100SPD IDA45 4,220613,unknown,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
50 ng Hela 60SPD IDA45 1,220613,unknown,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
50 ng Hela 60SPD IDA45 2,220613,unknown,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
50 ng Hela 60SPD IDA45 3,220613,unknown,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
50 ng Hela 60SPD IDA45 4,220613,unknown,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
QC_HeLa_100SPD_EV1109_IDA45_A3,220617,unknown,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
QC_HeLa_100SPD_EV1109_IDA45_A4,220617,unknown,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
220621 QC_HeLa_100SPD_EV1109_IDA45_A1,220621,MHE,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
20220622_QC_Hela_60SPD_EV1109_IDA45_S1_A12,220622,MHE,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
20220623_QC_Hela_60SPD_EV1109_IDA45_S1_A12,220623,MHE,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
220705_QC_HeLa_100SPD_EV1109_IDA45_S1_A1,220705,MHE,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
220705_QC_HeLa_100SPD_EV1109_IDA45_S1_A2,220705,MHE,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
20220712_Zeno1_S00187_EV1109_60SPD_QC_HeLa_IDA45_A5,220712,MHE,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
20220712_Zeno1_S00187_EV1109_60SPD_QC_HeLa_IDA45_A6,220712,MHE,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
20220712_Zeno1_S00187_EV1109_100SPD_QC_HeLa_IDA45_A3,220712,MHE,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
20220712_Zeno1_S00187_EV1109_100SPD_QC_HeLa_IDA45_A4,220712,MHE,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
20220718_Zeno1_S00187_EV1109_100SPD_QC_HeLa_IDA45_A3,220718,MHE,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
20220718_Zeno1_S00187_EV1109_100SPD_QC_HeLa_IDA45_A4,220718,MHE,S00187,EV1109,100SPD,HeLa_50ng_iRT,50ng,220611
20220718_Zeno1_S00187_EV1109_60SPD_QC_HeLa_IDA45_A5,220718,MHE,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
20220718_Zeno1_S00187_EV1109_60SPD_QC_HeLa_IDA45_A6,220718,MHE,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
20220722_Zeno1_S00187_EV1109_60SPD_QC_HeLa50_IDA45_A5,220722,MHE,S00187,EV1109,60SPD,HeLa_50ng_iRT,50ng,220611
